,city_name,naics_2022_2,salary,wfh_wham,soc_2021_2,employment_type_name
193,"San Diego, CA",72,33280,0,11-0000,Part-time (≤ 32 hours)
194,"San Diego, CA",72,29120,0,35-0000,Part-time / full-time
195,"San Diego, CA",72,43680,0,35-0000,Part-time / full-time
196,"San Diego, CA",72,35360,0,51-0000,Full-time (> 32 hours)
197,"San Diego, CA",72,37440,0,55-0000,Full-time (> 32 hours)
198,"San Diego, CA",72,34320,0,51-0000,Part-time (≤ 32 hours)
199,"San Diego, CA",72,32240,0,35-0000,Full-time (> 32 hours)
200,"San Diego, CA",72,55250,0,39-0000,Full-time (> 32 hours)
201,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
202,"San Diego, CA",72,31200,0,35-0000,Part-time (≤ 32 hours)
203,"San Diego, CA",72,31200,0,35-0000,Full-time (> 32 hours)
204,"San Diego, CA",72,41600,0,43-0000,Full-time (> 32 hours)
205,"San Diego, CA",72,45500,0,35-0000,Part-time (≤ 32 hours)
206,"San Diego, CA",72,35360,0,37-0000,Full-time (> 32 hours)
207,"San Diego, CA",72,37440,0,35-0000,Full-time (> 32 hours)
208,"San Diego, CA",72,38480,0,43-0000,Full-time (> 32 hours)
209,"San Diego, CA",72,34320,0,37-0000,Full-time (> 32 hours)
210,"San Diego, CA",72,33072,0,35-0000,Full-time (> 32 hours)
211,"San Diego, CA",72,29120,0,35-0000,Part-time (≤ 32 hours)
212,"San Diego, CA",72,33280,0,37-0000,Full-time (> 32 hours)
213,"San Diego, CA",72,55754.5,1,15-0000,Full-time (> 32 hours)
214,"San Diego, CA",72,33280,0,13-0000,Part-time / full-time
215,"San Diego, CA",72,40560,0,11-0000,Full-time (> 32 hours)
216,"San Diego, CA",72,45760,0,53-0000,Full-time (> 32 hours)
217,"San Diego, CA",72,155000,1,41-0000,Full-time (> 32 hours)
218,"San Diego, CA",72,34320,0,35-0000,Part-time / full-time
219,"San Diego, CA",72,43680,0,41-0000,Part-time / full-time
220,"San Diego, CA",72,35360,0,43-0000,Full-time (> 32 hours)
221,"San Diego, CA",72,31200,0,39-0000,Part-time / full-time
222,"San Diego, CA",72,41600,0,51-0000,Full-time (> 32 hours)
223,"San Diego, CA",72,32240,0,99-0000,Part-time (≤ 32 hours)
224,"San Diego, CA",72,30160,0,41-0000,Part-time (≤ 32 hours)
225,"San Diego, CA",72,34320,0,43-0000,Part-time / full-time
226,"San Diego, CA",72,36400,0,35-0000,Part-time (≤ 32 hours)
227,"San Diego, CA",72,37440,0,33-0000,Full-time (> 32 hours)
228,"San Diego, CA",72,61500,0,11-0000,Full-time (> 32 hours)
229,"San Diego, CA",72,41600,0,35-0000,Full-time (> 32 hours)
230,"San Diego, CA",72,41600,0,53-0000,Part-time / full-time
231,"San Diego, CA",72,33280,0,35-0000,Full-time (> 32 hours)
232,"San Diego, CA",72,29120,0,35-0000,Part-time / full-time
233,"San Diego, CA",72,86000,0,11-0000,Full-time (> 32 hours)
234,"San Diego, CA",72,31200,0,35-0000,Part-time (≤ 32 hours)
235,"San Diego, CA",72,34320,0,37-0000,Full-time (> 32 hours)
236,"San Diego, CA",72,33280,0,37-0000,Full-time (> 32 hours)
237,"San Diego, CA",72,62400,0,11-0000,Full-time (> 32 hours)
238,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
239,"San Diego, CA",72,62400,0,11-0000,Full-time (> 32 hours)
240,"San Diego, CA",72,34320,0,35-0000,Part-time / full-time
241,"San Diego, CA",72,44720,0,35-0000,Part-time / full-time
242,"San Diego, CA",72,31200,0,43-0000,Full-time (> 32 hours)
243,"San Diego, CA",72,41600,0,53-0000,Part-time / full-time
244,"San Diego, CA",72,33280,0,51-0000,Full-time (> 32 hours)
245,"San Diego, CA",72,37440,0,35-0000,Part-time / full-time
246,"San Diego, CA",72,33280,0,51-0000,Part-time (≤ 32 hours)
247,"San Diego, CA",72,31200,0,37-0000,Full-time (> 32 hours)
248,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
249,"San Diego, CA",72,34320,0,41-0000,Part-time (≤ 32 hours)
250,"San Diego, CA",72,31200,0,35-0000,Full-time (> 32 hours)
251,"San Diego, CA",72,34320,0,43-0000,Part-time / full-time
252,"San Diego, CA",72,33280,0,41-0000,Part-time / full-time
253,"San Diego, CA",72,33280,0,51-0000,Full-time (> 32 hours)
254,"San Diego, CA",72,32760,0,35-0000,Part-time (≤ 32 hours)
255,"San Diego, CA",72,33800,0,35-0000,Part-time / full-time
256,"San Diego, CA",72,40477,0,37-0000,Full-time (> 32 hours)
257,"San Diego, CA",72,43680,0,41-0000,Full-time (> 32 hours)
258,"San Diego, CA",72,32240,0,51-0000,Part-time / full-time
259,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
260,"San Diego, CA",72,41600,0,53-0000,Full-time (> 32 hours)
261,"San Diego, CA",72,43680,0,35-0000,Full-time (> 32 hours)
262,"San Diego, CA",72,28080,0,35-0000,Part-time / full-time
263,"San Diego, CA",72,33280,0,37-0000,Full-time (> 32 hours)
264,"San Diego, CA",72,36400,0,11-0000,Full-time (> 32 hours)
265,"San Diego, CA",72,46800,0,41-0000,Part-time / full-time
266,"San Diego, CA",72,31200,0,41-0000,Part-time / full-time
267,"San Diego, CA",72,30160,0,41-0000,Full-time (> 32 hours)
268,"San Diego, CA",72,32032,0,99-0000,Full-time (> 32 hours)
269,"San Diego, CA",72,28059,0,35-0000,Part-time / full-time
270,"San Diego, CA",72,39520,0,43-0000,Part-time (≤ 32 hours)
271,"San Diego, CA",72,37440,0,11-0000,Full-time (> 32 hours)
272,"San Diego, CA",72,33280,0,35-0000,Full-time (> 32 hours)
273,"San Diego, CA",72,34320,0,43-0000,Part-time / full-time
274,"San Diego, CA",72,33280,0,43-0000,Part-time (≤ 32 hours)
275,"San Diego, CA",72,41600,0,49-0000,Part-time (≤ 32 hours)
276,"San Diego, CA",72,35360,0,51-0000,Full-time (> 32 hours)
277,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
278,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
279,"San Diego, CA",72,43680,0,35-0000,Full-time (> 32 hours)
280,"San Diego, CA",72,31200,0,35-0000,Full-time (> 32 hours)
281,"San Diego, CA",72,80000,0,11-0000,Full-time (> 32 hours)
282,"San Diego, CA",72,37440,0,37-0000,Full-time (> 32 hours)
283,"San Diego, CA",72,33280,0,51-0000,Part-time (≤ 32 hours)
284,"San Diego, CA",72,36400,0,53-0000,Full-time (> 32 hours)
285,"San Diego, CA",72,31200,0,99-0000,Part-time / full-time
286,"San Diego, CA",72,35360,0,37-0000,Full-time (> 32 hours)
287,"San Diego, CA",72,48880,0,11-0000,Part-time / full-time
288,"San Diego, CA",72,152500,0,13-0000,Full-time (> 32 hours)
289,"San Diego, CA",72,56000,0,11-0000,Full-time (> 32 hours)
290,"San Diego, CA",72,35360,0,35-0000,Part-time (≤ 32 hours)
291,"San Diego, CA",72,35360,0,41-0000,Part-time / full-time
292,"San Diego, CA",72,36400,0,35-0000,Part-time / full-time
293,"San Diego, CA",72,62400,0,49-0000,Full-time (> 32 hours)
294,"San Diego, CA",72,43680,0,11-0000,Full-time (> 32 hours)
295,"San Diego, CA",72,39000,0,41-0000,Part-time / full-time
296,"San Diego, CA",72,31200,0,39-0000,Full-time (> 32 hours)
297,"San Diego, CA",72,39000,0,41-0000,Part-time / full-time
298,"San Diego, CA",72,32760,0,43-0000,Part-time (≤ 32 hours)
299,"San Diego, CA",72,37440,0,49-0000,Full-time (> 32 hours)
300,"San Diego, CA",72,31200,0,35-0000,Part-time (≤ 32 hours)
301,"San Diego, CA",72,31000,0,35-0000,Full-time (> 32 hours)
302,"San Diego, CA",72,34840,0,43-0000,Part-time / full-time
303,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
304,"San Diego, CA",72,45760,0,35-0000,Full-time (> 32 hours)
305,"San Diego, CA",72,125000,0,11-0000,Full-time (> 32 hours)
306,"San Diego, CA",72,50960,0,11-0000,Full-time (> 32 hours)
307,"San Diego, CA",72,27000,0,35-0000,Part-time (≤ 32 hours)
308,"San Diego, CA",72,62400,0,43-0000,Full-time (> 32 hours)
309,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
310,"San Diego, CA",72,41600,0,11-0000,Full-time (> 32 hours)
311,"San Diego, CA",72,63500,0,11-0000,Full-time (> 32 hours)
312,"San Diego, CA",72,37440,0,43-0000,Full-time (> 32 hours)
313,"San Diego, CA",72,52000,0,11-0000,Full-time (> 32 hours)
314,"San Diego, CA",72,31200,0,41-0000,Full-time (> 32 hours)
315,"San Diego, CA",72,32240,0,35-0000,Full-time (> 32 hours)
316,"San Diego, CA",72,33280,0,35-0000,Part-time (≤ 32 hours)
317,"San Diego, CA",72,31000,0,35-0000,Part-time (≤ 32 hours)
318,"San Diego, CA",72,52728,1,13-0000,Full-time (> 32 hours)
319,"San Diego, CA",72,42640,0,11-0000,Full-time (> 32 hours)
320,"San Diego, CA",72,31000,0,35-0000,Part-time (≤ 32 hours)
321,"San Diego, CA",72,33280,0,35-0000,Part-time (≤ 32 hours)
322,"San Diego, CA",72,37440,0,35-0000,Part-time / full-time
323,"San Diego, CA",72,38480,0,47-0000,Full-time (> 32 hours)
324,"San Diego, CA",72,42500,0,53-0000,Part-time (≤ 32 hours)
325,"San Diego, CA",72,34320,0,37-0000,Part-time (≤ 32 hours)
326,"San Diego, CA",72,33280,0,37-0000,Part-time / full-time
327,"San Diego, CA",72,31200,0,41-0000,Full-time (> 32 hours)
328,"San Diego, CA",72,36400,0,51-0000,Full-time (> 32 hours)
329,"San Diego, CA",72,107500,0,11-0000,Full-time (> 32 hours)
330,"San Diego, CA",72,37440,0,37-0000,Full-time (> 32 hours)
331,"San Diego, CA",72,31200,0,99-0000,Part-time / full-time
332,"San Diego, CA",72,45760,0,35-0000,Part-time (≤ 32 hours)
333,"San Diego, CA",72,34320,0,35-0000,Part-time / full-time
334,"San Diego, CA",72,57500,1,13-0000,Full-time (> 32 hours)
335,"San Diego, CA",72,39520,0,35-0000,Part-time / full-time
336,"San Diego, CA",72,31200,0,99-0000,Part-time (≤ 32 hours)
337,"San Diego, CA",72,28080,0,35-0000,Full-time (> 32 hours)
338,"San Diego, CA",72,35360,0,35-0000,Part-time / full-time
339,"San Diego, CA",72,44028.5,0,27-0000,Full-time (> 32 hours)
340,"San Diego, CA",72,32365,0,37-0000,Part-time / full-time
341,"San Diego, CA",72,31200,0,35-0000,Part-time (≤ 32 hours)
342,"San Diego, CA",72,39520,0,35-0000,Part-time (≤ 32 hours)
343,"San Diego, CA",72,32240,0,35-0000,Part-time (≤ 32 hours)
344,"San Diego, CA",72,34320,0,35-0000,Part-time / full-time
345,"San Diego, CA",72,33800,0,35-0000,Part-time / full-time
346,"San Diego, CA",72,39520,0,41-0000,Full-time (> 32 hours)
347,"San Diego, CA",72,32240,0,43-0000,Full-time (> 32 hours)
348,"San Diego, CA",72,32240,0,51-0000,Part-time / full-time
349,"San Diego, CA",72,12480,0,41-0000,Part-time (≤ 32 hours)
350,"San Diego, CA",72,46800,0,11-0000,Full-time (> 32 hours)
351,"San Diego, CA",72,37440,0,35-0000,Full-time (> 32 hours)
352,"San Diego, CA",72,36400,0,35-0000,Part-time / full-time
353,"San Diego, CA",72,42640,0,43-0000,Full-time (> 32 hours)
354,"San Diego, CA",72,33280,0,35-0000,Part-time / full-time
355,"San Diego, CA",72,42640,0,53-0000,Full-time (> 32 hours)
356,"San Diego, CA",72,36400,0,35-0000,Part-time / full-time
357,"San Diego, CA",72,31200,0,37-0000,Full-time (> 32 hours)
358,"San Diego, CA",72,50000,1,15-0000,Full-time (> 32 hours)
359,"San Diego, CA",72,31000,0,35-0000,Part-time (≤ 32 hours)
360,"San Diego, CA",72,40560,0,33-0000,Part-time / full-time
361,"San Diego, CA",72,33280,0,51-0000,Full-time (> 32 hours)
362,"San Diego, CA",72,33280,0,37-0000,Full-time (> 32 hours)
363,"San Diego, CA",72,35360,0,35-0000,Full-time (> 32 hours)
364,"San Diego, CA",72,22880,0,35-0000,Full-time (> 32 hours)
365,"San Diego, CA",72,31200,0,51-0000,Part-time (≤ 32 hours)
366,"San Diego, CA",72,35360,0,53-0000,Full-time (> 32 hours)
367,"San Diego, CA",72,33800,0,35-0000,Part-time / full-time
368,"San Diego, CA",72,31200,0,99-0000,Part-time (≤ 32 hours)
369,"San Diego, CA",72,38480,0,37-0000,Full-time (> 32 hours)
370,"San Diego, CA",72,37440,0,35-0000,Part-time / full-time
371,"San Diego, CA",72,62500,0,39-0000,Full-time (> 32 hours)
372,"San Diego, CA",72,41600,0,35-0000,Full-time (> 32 hours)
373,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
374,"San Diego, CA",72,46800,0,31-0000,Full-time (> 32 hours)
375,"San Diego, CA",72,39520,0,19-0000,Part-time (≤ 32 hours)
376,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
377,"San Diego, CA",72,43680,0,35-0000,Full-time (> 32 hours)
378,"San Diego, CA",72,33280,0,37-0000,Full-time (> 32 hours)
379,"San Diego, CA",72,35693,0,43-0000,Part-time / full-time
380,"San Diego, CA",72,32240,0,35-0000,Part-time / full-time
381,"San Diego, CA",72,41600,0,43-0000,Full-time (> 32 hours)
382,"San Diego, CA",72,37960,0,35-0000,Full-time (> 32 hours)
383,"San Diego, CA",72,30500,0,35-0000,Full-time (> 32 hours)
384,"San Diego, CA",72,33280,0,35-0000,Part-time / full-time
385,"San Diego, CA",72,35360,0,43-0000,Full-time (> 32 hours)
386,"San Diego, CA",72,87750,0,35-0000,Part-time (≤ 32 hours)
387,"San Diego, CA",72,31200,0,37-0000,Part-time / full-time
388,"San Diego, CA",72,35360,0,37-0000,Full-time (> 32 hours)
389,"San Diego, CA",72,38480,0,37-0000,Full-time (> 32 hours)
390,"San Diego, CA",72,62400,0,49-0000,Full-time (> 32 hours)
391,"San Diego, CA",72,31200,0,35-0000,Full-time (> 32 hours)
392,"San Diego, CA",72,33280,0,37-0000,Full-time (> 32 hours)
393,"San Diego, CA",72,31200,0,53-0000,Full-time (> 32 hours)
394,"San Diego, CA",72,32240,0,99-0000,Full-time (> 32 hours)
